"Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name","Gene.type"
"ENSG00000002587",78.8794124094006,-1.86069645483826,0.339627709585283,-5.4786355833873,4.28618087750454e-08,6.2278638201734e-07,"HS3ST1","protein_coding"
"ENSG00000003137",349.235074410957,1.13856607868201,0.278698120289696,4.08530232460311,4.4019463001623e-05,0.000334194070791701,"CYP26B1","protein_coding"
"ENSG00000003436",3309.99094100241,1.04023509087588,0.108213099442985,9.61283889132064,7.05757738015455e-22,4.2002253326139e-20,"TFPI","protein_coding"
"ENSG00000004399",157.42309961944,1.65926318557075,0.263529888047182,6.29629981580563,3.04834507273724e-10,6.23959254111045e-09,"PLXND1","protein_coding"
"ENSG00000005059",304.587106029594,-1.51542702979851,0.423346285587685,-3.57963936708411,0.000344068711513969,0.00198645384341852,"MCUB","protein_coding"
"ENSG00000005073",225.128011161815,2.10501414577275,0.751534443814008,2.80095498363307,0.00509516260448343,0.0198840637190014,"HOXA11","protein_coding"
"ENSG00000005108",15.3830252585577,4.49697687209807,0.843744251880047,5.32978667656441,9.83281946961088e-08,1.34200864943446e-06,"THSD7A","protein_coding"
"ENSG00000005483",3931.98139508319,1.0242458218951,0.11438977430887,8.95399810064731,3.42834738272032e-19,1.71200634531361e-17,"KMT2E","protein_coding"
"ENSG00000005513",87.5775286474612,-1.11643251766973,0.318903145736505,-3.5008513794724,0.000463774401752804,0.00256916530241002,"SOX8","protein_coding"
"ENSG00000006007",4940.98985567863,1.73398884148646,0.100691297156661,17.2208412290947,1.85275561464171e-66,5.96244205023031e-64,"GDE1","protein_coding"
"ENSG00000006025",158.368038967141,2.80487753882747,0.696464730225088,4.02730736690854,5.6419257347276e-05,0.00041615189056917,"OSBPL7","protein_coding"
"ENSG00000006283",42.4639415227908,2.13709356879814,0.546196574290344,3.9126821173765,9.12766537247735e-05,0.00063044741193526,"CACNA1G","protein_coding"
"ENSG00000006459",494.262892534629,1.08311900432821,0.190446706639072,5.68725510376456,1.29097538708056e-08,2.06960980412233e-07,"KDM7A","protein_coding"
