"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060537","muscle tissue development","67/1070","462/21288",0.145021645021645,2.88525306469232,9.42470431990341,4.56226160107279e-15,2.51471859451132e-11,1.89405892154011e-11,"ENSG00000003137/ENSG00000005513/ENSG00000006283/ENSG00000017427/ENSG00000043039/ENSG00000064309/ENSG00000064655/ENSG00000065534/ENSG00000066468/ENSG00000075426/ENSG00000077092/ENSG00000078114/ENSG00000081189/ENSG00000092969/ENSG00000096696/ENSG00000100628/ENSG00000101144/ENSG00000101665/ENSG00000105329/ENSG00000105971/ENSG00000105974/ENSG00000107779/ENSG00000107954/ENSG00000112715/ENSG00000113083/ENSG00000115461/ENSG00000115738/ENSG00000117152/ENSG00000120738/ENSG00000123358/ENSG00000124006/ENSG00000125266/ENSG00000125398/ENSG00000129152/ENSG00000130700/ENSG00000131018/ENSG00000132429/ENSG00000133794/ENSG00000135111/ENSG00000135766/ENSG00000136383/ENSG00000136574/ENSG00000137193/ENSG00000137868/ENSG00000148677/ENSG00000149256/ENSG00000149596/ENSG00000152661/ENSG00000155657/ENSG00000163110/ENSG00000163659/ENSG00000164105/ENSG00000164442/ENSG00000164683/ENSG00000167080/ENSG00000168214/ENSG00000170345/ENSG00000172638/ENSG00000175183/ENSG00000177508/ENSG00000178127/ENSG00000181744/ENSG00000183691/ENSG00000185022/ENSG00000185532/ENSG00000187957/ENSG00000198947",67
"GO:0070482","response to oxygen levels","57/1070","387/21288",0.147286821705426,2.93031949576179,8.81619463786704,2.72361893791032e-13,5.66180352392566e-10,4.26440934580299e-10,"ENSG00000064393/ENSG00000066468/ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000075426/ENSG00000083444/ENSG00000091879/ENSG00000092969/ENSG00000100678/ENSG00000101144/ENSG00000102144/ENSG00000104419/ENSG00000104765/ENSG00000105329/ENSG00000105974/ENSG00000107159/ENSG00000108821/ENSG00000110090/ENSG00000112715/ENSG00000113742/ENSG00000114023/ENSG00000116016/ENSG00000117394/ENSG00000119630/ENSG00000120738/ENSG00000121691/ENSG00000121966/ENSG00000124766/ENSG00000129152/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000137801/ENSG00000140465/ENSG00000148926/ENSG00000152256/ENSG00000152952/ENSG00000159167/ENSG00000159399/ENSG00000162433/ENSG00000163485/ENSG00000164171/ENSG00000164442/ENSG00000167315/ENSG00000168140/ENSG00000170345/ENSG00000173511/ENSG00000176171/ENSG00000176387/ENSG00000185650/ENSG00000197930/ENSG00000198727/ENSG00000198763/ENSG00000198888/ENSG00000198899/ENSG00000272398",57
"GO:0001666","response to hypoxia","53/1070","344/21288",0.15406976744186,3.06526841990872,8.88394648481582,3.08153312260105e-13,5.66180352392566e-10,4.26440934580299e-10,"ENSG00000064393/ENSG00000066468/ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000075426/ENSG00000083444/ENSG00000091879/ENSG00000092969/ENSG00000100678/ENSG00000101144/ENSG00000102144/ENSG00000104419/ENSG00000104765/ENSG00000105329/ENSG00000105974/ENSG00000107159/ENSG00000110090/ENSG00000112715/ENSG00000114023/ENSG00000116016/ENSG00000117394/ENSG00000119630/ENSG00000120738/ENSG00000121691/ENSG00000121966/ENSG00000124766/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000137801/ENSG00000140465/ENSG00000148926/ENSG00000152256/ENSG00000152952/ENSG00000159167/ENSG00000159399/ENSG00000162433/ENSG00000163485/ENSG00000164171/ENSG00000164442/ENSG00000167315/ENSG00000168140/ENSG00000170345/ENSG00000173511/ENSG00000176171/ENSG00000176387/ENSG00000185650/ENSG00000197930/ENSG00000198727/ENSG00000198763/ENSG00000198888/ENSG00000272398",53
"GO:0036293","response to decreased oxygen levels","54/1070","360/21288",0.15,2.98429906542056,8.73523388598726,5.53831040296611e-13,7.6317917352873e-10,5.7481832182364e-10,"ENSG00000064393/ENSG00000066468/ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000075426/ENSG00000083444/ENSG00000091879/ENSG00000092969/ENSG00000100678/ENSG00000101144/ENSG00000102144/ENSG00000104419/ENSG00000104765/ENSG00000105329/ENSG00000105974/ENSG00000107159/ENSG00000110090/ENSG00000112715/ENSG00000113742/ENSG00000114023/ENSG00000116016/ENSG00000117394/ENSG00000119630/ENSG00000120738/ENSG00000121691/ENSG00000121966/ENSG00000124766/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000137801/ENSG00000140465/ENSG00000148926/ENSG00000152256/ENSG00000152952/ENSG00000159167/ENSG00000159399/ENSG00000162433/ENSG00000163485/ENSG00000164171/ENSG00000164442/ENSG00000167315/ENSG00000168140/ENSG00000170345/ENSG00000173511/ENSG00000176171/ENSG00000176387/ENSG00000185650/ENSG00000197930/ENSG00000198727/ENSG00000198763/ENSG00000198888/ENSG00000272398",54
"GO:0001822","kidney development","50/1070","340/21288",0.147058823529412,2.92578339747114,8.23484894177763,8.54557790242614e-12,9.42064507963457e-09,7.09552826256183e-09,"ENSG00000003137/ENSG00000004399/ENSG00000005073/ENSG00000005513/ENSG00000048392/ENSG00000049192/ENSG00000057657/ENSG00000066468/ENSG00000074181/ENSG00000077092/ENSG00000081181/ENSG00000081189/ENSG00000085741/ENSG00000091879/ENSG00000092969/ENSG00000101144/ENSG00000101384/ENSG00000101665/ENSG00000111077/ENSG00000112715/ENSG00000114315/ENSG00000117318/ENSG00000120738/ENSG00000121691/ENSG00000124766/ENSG00000125266/ENSG00000125398/ENSG00000126603/ENSG00000129757/ENSG00000132437/ENSG00000134240/ENSG00000134569/ENSG00000135333/ENSG00000135414/ENSG00000137834/ENSG00000137868/ENSG00000138193/ENSG00000145147/ENSG00000154734/ENSG00000157483/ENSG00000163659/ENSG00000164056/ENSG00000164120/ENSG00000166147/ENSG00000168621/ENSG00000168743/ENSG00000177508/ENSG00000183691/ENSG00000251493/ENSG00000272398",50
"GO:0072001","renal system development","50/1070","350/21288",0.142857142857143,2.84218958611482,7.99430604291847,2.51185234541469e-11,2.21952444945824e-08,1.67172187546087e-08,"ENSG00000003137/ENSG00000004399/ENSG00000005073/ENSG00000005513/ENSG00000048392/ENSG00000049192/ENSG00000057657/ENSG00000066468/ENSG00000074181/ENSG00000077092/ENSG00000081181/ENSG00000081189/ENSG00000085741/ENSG00000091879/ENSG00000092969/ENSG00000101144/ENSG00000101384/ENSG00000101665/ENSG00000111077/ENSG00000112715/ENSG00000114315/ENSG00000117318/ENSG00000120738/ENSG00000121691/ENSG00000124766/ENSG00000125266/ENSG00000125398/ENSG00000126603/ENSG00000129757/ENSG00000132437/ENSG00000134240/ENSG00000134569/ENSG00000135333/ENSG00000135414/ENSG00000137834/ENSG00000137868/ENSG00000138193/ENSG00000145147/ENSG00000154734/ENSG00000157483/ENSG00000163659/ENSG00000164056/ENSG00000164120/ENSG00000166147/ENSG00000168621/ENSG00000168743/ENSG00000177508/ENSG00000183691/ENSG00000251493/ENSG00000272398",50
"GO:0071560","cellular response to transforming growth factor beta stimulus","47/1070","318/21288",0.147798742138365,2.94050432022571,8.02063921924806,3.03420853464068e-11,2.21952444945824e-08,1.67172187546087e-08,"ENSG00000010810/ENSG00000064393/ENSG00000066468/ENSG00000081189/ENSG00000092969/ENSG00000095739/ENSG00000101311/ENSG00000101665/ENSG00000102804/ENSG00000105329/ENSG00000105855/ENSG00000105971/ENSG00000105974/ENSG00000107779/ENSG00000108821/ENSG00000110031/ENSG00000113083/ENSG00000120693/ENSG00000125398/ENSG00000125968/ENSG00000129757/ENSG00000134986/ENSG00000137801/ENSG00000137834/ENSG00000138336/ENSG00000138829/ENSG00000140443/ENSG00000142611/ENSG00000148677/ENSG00000163347/ENSG00000163815/ENSG00000164056/ENSG00000164105/ENSG00000164120/ENSG00000164442/ENSG00000166147/ENSG00000166484/ENSG00000168140/ENSG00000168675/ENSG00000168743/ENSG00000170345/ENSG00000171310/ENSG00000172572/ENSG00000185650/ENSG00000197415/ENSG00000197496/ENSG00000242265",47
"GO:0007409","axonogenesis","61/1070","483/21288",0.126293995859213,2.51266035873919,7.73590546521779,3.2974121249878e-11,2.21952444945824e-08,1.67172187546087e-08,"ENSG00000004399/ENSG00000008300/ENSG00000010810/ENSG00000038382/ENSG00000066032/ENSG00000066468/ENSG00000074181/ENSG00000085552/ENSG00000091129/ENSG00000095539/ENSG00000099617/ENSG00000101144/ENSG00000105290/ENSG00000105711/ENSG00000105996/ENSG00000107731/ENSG00000108947/ENSG00000112715/ENSG00000115414/ENSG00000118263/ENSG00000121454/ENSG00000125266/ENSG00000125848/ENSG00000127129/ENSG00000131711/ENSG00000132561/ENSG00000133083/ENSG00000133216/ENSG00000134569/ENSG00000135333/ENSG00000140443/ENSG00000142192/ENSG00000143320/ENSG00000143590/ENSG00000145147/ENSG00000145242/ENSG00000146426/ENSG00000148053/ENSG00000149294/ENSG00000160145/ENSG00000160469/ENSG00000162490/ENSG00000162631/ENSG00000162946/ENSG00000167680/ENSG00000168621/ENSG00000170017/ENSG00000171246/ENSG00000173482/ENSG00000174672/ENSG00000182175/ENSG00000183691/ENSG00000184349/ENSG00000184486/ENSG00000185532/ENSG00000186868/ENSG00000187164/ENSG00000196338/ENSG00000198753/ENSG00000198910/ENSG00000251493",61
"GO:0060411","cardiac septum morphogenesis","21/1070","73/21288",0.287671232876712,5.72331327614902,9.29965176295119,3.91527923006936e-11,2.21952444945824e-08,1.67172187546087e-08,"ENSG00000066468/ENSG00000085741/ENSG00000092969/ENSG00000101144/ENSG00000101384/ENSG00000101665/ENSG00000105877/ENSG00000107779/ENSG00000114315/ENSG00000124766/ENSG00000135111/ENSG00000135766/ENSG00000136574/ENSG00000137834/ENSG00000145147/ENSG00000157240/ENSG00000162496/ENSG00000164442/ENSG00000164683/ENSG00000168214/ENSG00000183691",21
"GO:0003279","cardiac septum development","26/1070","112/21288",0.232142857142857,4.61855807743658,8.83288583867358,4.02671344241335e-11,2.21952444945824e-08,1.67172187546087e-08,"ENSG00000004399/ENSG00000049192/ENSG00000057657/ENSG00000066468/ENSG00000085741/ENSG00000092969/ENSG00000101115/ENSG00000101144/ENSG00000101384/ENSG00000101665/ENSG00000105877/ENSG00000107779/ENSG00000114315/ENSG00000124766/ENSG00000135111/ENSG00000135766/ENSG00000136574/ENSG00000137834/ENSG00000137868/ENSG00000145147/ENSG00000157240/ENSG00000162496/ENSG00000164442/ENSG00000164683/ENSG00000168214/ENSG00000183691",26
