"Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name","Gene.type"
"ENSG00000000003",720.112908167337,-1.72078103532359,0.146840618917682,-11.718699144739,1.02229706188943e-31,9.41455709786111e-31,"TSPAN6","protein_coding"
"ENSG00000000457",227.028445524537,1.90295102467479,0.242766526577901,7.83860547621321,4.55577457319266e-15,2.25269487499669e-14,"SCYL3","protein_coding"
"ENSG00000000460",403.394072165322,-1.27568335424351,0.189135922892135,-6.74479672997412,1.53241408099988e-11,6.33526636073246e-11,"C1orf112","protein_coding"
"ENSG00000000971",12.7897272165705,-8.17791509889327,1.68335445609453,-4.85810642511172,1.18513706413697e-06,3.52426689281848e-06,"CFH","protein_coding"
"ENSG00000001036",648.227348667717,-3.00793707132176,0.152592117265471,-19.7122703664222,1.69202608596118e-86,4.96237100027194e-85,"FUCA2","protein_coding"
"ENSG00000001460",298.891802551723,-1.46266188478356,0.195362654107627,-7.48690629467882,7.05160096407904e-14,3.28125260289951e-13,"STPG1","protein_coding"
"ENSG00000001561",1288.21925837645,-1.17117487551577,0.124118325927908,-9.43595449551923,3.8745035510365e-21,2.48150648169816e-20,"ENPP4","protein_coding"
"ENSG00000002746",17.3374108359242,-5.81265572653981,1.11002798218142,-5.23649477296673,1.63654874744827e-07,5.17471533966891e-07,"HECW1","protein_coding"
"ENSG00000002834",6006.53135811861,-1.87127930837765,0.0854460247510045,-21.9001330235161,2.59023427626857e-106,1.01443570262316e-104,"LASP1","protein_coding"
"ENSG00000002919",348.300599847034,-1.47357540964818,0.189303789195547,-7.78418338011187,7.01649246458946e-15,3.43425412994088e-14,"SNX11","protein_coding"
"ENSG00000003056",2602.21690186114,-1.51673981790012,0.101138032716374,-14.9967304797551,7.71260213323701e-51,1.14276991283548e-49,"M6PR","protein_coding"
"ENSG00000003096",197.135498643242,-2.99736570727974,0.260046727663936,-11.5262581237065,9.72806723596753e-31,8.63539019412126e-30,"KLHL13","protein_coding"
"ENSG00000003137",349.235074410957,-4.00572240588512,0.226088370255393,-17.7175075452143,3.07226301028056e-70,6.66978389006069e-69,"CYP26B1","protein_coding"
"ENSG00000003147",771.006515036358,4.4444065843773,0.219243881372443,20.2715193534971,2.29462148300194e-91,7.20032512960633e-90,"ICA1","protein_coding"
"ENSG00000003249",786.614802516703,1.10805808849261,0.160216668735968,6.91599755028392,4.64582425746299e-12,1.97625265403125e-11,"DBNDD1","protein_coding"
"ENSG00000003436",3309.99094100241,1.2817278740283,0.111965586362229,11.44751629203,2.41979655284146e-30,2.12003689764876e-29,"TFPI","protein_coding"
"ENSG00000003756",1716.52738626604,1.32224592682707,0.124877135617051,10.5883748877927,3.37398363466277e-26,2.57494053932753e-25,"RBM5","protein_coding"
"ENSG00000004139",406.765421656306,1.54344441202903,0.198417570446653,7.77876882855998,7.32337426743653e-15,3.582401941764e-14,"SARM1","protein_coding"
"ENSG00000004534",1996.49145194056,2.64752559751565,0.116574242640304,22.7110683934249,3.48272003554504e-114,1.50705722824076e-112,"RBM6","protein_coding"
"ENSG00000004700",2204.37341712913,-1.2259974519313,0.112587110477611,-10.8893233579798,1.29599568234104e-27,1.03219537776985e-26,"RECQL","protein_coding"
"ENSG00000004766",836.568728436505,-1.57889557888357,0.153313817445097,-10.2984558417181,7.1601391688398e-25,5.23480271880815e-24,"VPS50","protein_coding"
"ENSG00000004776",47.2640392282983,2.79974518832645,0.552456791137113,5.06780843903427,4.02422086419329e-07,1.23770805028117e-06,"HSPB6","protein_coding"
"ENSG00000004777",288.645900851092,3.03417273645632,0.269189210031445,11.2715243530819,1.8140179497461e-29,1.53920686950255e-28,"ARHGAP33","protein_coding"
"ENSG00000004799",32.7045657272765,-9.54818483529642,1.53337048714496,-6.22692618342652,4.75675093534841e-10,1.7976821105453e-09,"PDK4","protein_coding"
"ENSG00000004838",24.2770674160456,2.44449037920681,0.762001776026329,3.20798514664137,0.00133668401785376,0.00292173992073437,"ZMYND10","protein_coding"
