"Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name","Gene.type"
"ENSG00000000003",720.112908167337,-2.83550331016411,0.150455173165547,-18.8461669380034,3.15920804195229e-79,7.05887319319879e-78,"TSPAN6","protein_coding"
"ENSG00000000457",227.028445524537,1.47320131381075,0.248953734804604,5.91757064808453,3.26731532529106e-09,1.09945580318805e-08,"SCYL3","protein_coding"
"ENSG00000000460",403.394072165322,-1.15832370606056,0.1893449292949,-6.11753222214098,9.50355486604113e-10,3.31074855382267e-09,"C1orf112","protein_coding"
"ENSG00000000971",12.7897272165705,-5.00526651414541,1.20244192108801,-4.16258484203253,3.14665166850716e-05,7.75324754314112e-05,"CFH","protein_coding"
"ENSG00000001036",648.227348667717,-2.49646062497573,0.145450943862882,-17.1635917834206,4.9740118252389e-66,8.83712550621139e-65,"FUCA2","protein_coding"
"ENSG00000001084",918.413880552967,-1.17704405015763,0.155661637666958,-7.56155509988879,3.98278635708532e-14,1.76053161453047e-13,"GCLC","protein_coding"
"ENSG00000001497",961.180034767232,1.53073243867373,0.132197949700816,11.5790936405444,5.25992245438266e-31,4.34388619150759e-30,"LAS1L","protein_coding"
"ENSG00000001561",1288.21925837645,-1.78767245154426,0.123949437665979,-14.4225942868874,3.73052148389441e-47,4.56521191030559e-46,"ENPP4","protein_coding"
"ENSG00000002079",4.1024006608464,-4.03192917555836,1.67831006732295,-2.4023744205918,0.0162890263242198,0.0286395531705979,"MYH16","transcribed_unitary_pseudogene"
"ENSG00000002549",1317.7092128034,1.14868138081219,0.119689669430371,9.59716395140044,8.2174342132643e-22,5.03050061491298e-21,"LAP3","protein_coding"
"ENSG00000002587",78.8794124094006,1.18684658349965,0.36911121125779,3.2154173249177,0.00130255008662871,0.00269239114817101,"HS3ST1","protein_coding"
"ENSG00000002746",17.3374108359242,-5.79667546987469,1.26755242930294,-4.57312481588034,4.80503700718624e-06,1.27889409907905e-05,"HECW1","protein_coding"
"ENSG00000002834",6006.53135811861,-2.00986592144846,0.0854549519094167,-23.5195957231237,2.57092282112597e-122,1.06832787880879e-120,"LASP1","protein_coding"
"ENSG00000002919",348.300599847034,-1.28370499653454,0.187936660494263,-6.83051935241623,8.46077642382847e-12,3.3301262802896e-11,"SNX11","protein_coding"
"ENSG00000003056",2602.21690186114,-1.4613605662666,0.101444767357044,-14.405479990143,4.77985548307531e-47,5.83212660927586e-46,"M6PR","protein_coding"
"ENSG00000003096",197.135498643242,-2.11509331512907,0.249189795755036,-8.48788092915447,2.10439019097841e-17,1.08156878471285e-16,"KLHL13","protein_coding"
"ENSG00000003137",349.235074410957,-5.57162242474117,0.256949436721307,-21.6837308376133,2.92206020399004e-104,9.44584422565145e-103,"CYP26B1","protein_coding"
"ENSG00000003147",771.006515036358,4.85289578442918,0.242855247582545,19.9826679997093,7.79449396899793e-89,2.04223946718239e-87,"ICA1","protein_coding"
"ENSG00000003400",18.7692817893194,2.70007050429614,0.907827295757835,2.97421163354884,0.00293742404454243,0.00580557582124073,"CASP10","protein_coding"
"ENSG00000004139",406.765421656306,3.03348456262215,0.228208533248757,13.2925991830267,2.55544612560074e-40,2.68564591461958e-39,"SARM1","protein_coding"
"ENSG00000004399",157.42309961944,-2.39488221918737,0.275789029960058,-8.68374720899601,3.82939346601122e-18,2.03278807341619e-17,"PLXND1","protein_coding"
"ENSG00000004534",1996.49145194056,1.89609165365921,0.118118646179709,16.0524329983806,5.49664115576074e-58,8.4979437893193e-57,"RBM6","protein_coding"
"ENSG00000004700",2204.37341712913,-1.74255547098688,0.111462788506672,-15.6335176459593,4.30373859285445e-55,6.25361105164858e-54,"RECQL","protein_coding"
"ENSG00000004766",836.568728436505,-1.20163840941946,0.152672005297253,-7.87071871545713,3.52609632163108e-15,1.64217113070409e-14,"VPS50","protein_coding"
"ENSG00000004776",47.2640392282983,2.40932775956106,0.599342188895333,4.01995354941018,5.82096172925568e-05,0.000139692979563154,"HSPB6","protein_coding"
"ENSG00000004777",288.645900851092,2.70692938825737,0.289978830166472,9.3349207137065,1.0106686547774e-20,5.91362329244575e-20,"ARHGAP33","protein_coding"
"ENSG00000004799",32.7045657272765,-6.42135594141002,0.984454938839222,-6.52275252840063,6.90287050647647e-11,2.57368708473196e-10,"PDK4","protein_coding"
"ENSG00000004838",24.2770674160456,1.98669562819657,0.730415849510975,2.71995142154527,0.00652915074594192,0.0122942046461336,"ZMYND10","protein_coding"
"ENSG00000004846",7.96300525596049,3.34504326258273,1.41102192564636,2.37065293018069,0.0177566963346421,0.0310032216937133,"ABCB5","protein_coding"
"ENSG00000004848",14.5307196507182,3.90051683945009,1.24529020742252,3.13221513844818,0.00173492694226744,0.00353533086532779,"ARX","protein_coding"
"ENSG00000004866",2031.37142883104,1.68158530155513,0.121452045634428,13.84567293841,1.35109483702487e-43,1.52379255044794e-42,"ST7","protein_coding"
"ENSG00000004897",8735.53472824141,-2.3487925337539,0.116396491800162,-20.1792382006365,1.49025118426397e-90,4.00149322842659e-89,"CDC27","protein_coding"
"ENSG00000004961",763.793038358867,-1.10600962134714,0.132925105459209,-8.32054725498444,8.75580949598074e-17,4.38072068672274e-16,"HCCS","protein_coding"
"ENSG00000005007",1203.84822028292,1.51372691742423,0.134076548743926,11.2900200042836,1.47003212792927e-29,1.1619742679037e-28,"UPF1","protein_coding"
"ENSG00000005059",304.587106029594,-5.81584626878757,0.269532515317545,-21.5775312375048,2.9205066732543e-103,9.23689092807786e-102,"MCUB","protein_coding"
