,gene_ids,feature_types,genome,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
MIR1302-2HG,ENSG00000243485,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
FAM138A,ENSG00000237613,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4F5,ENSG00000186092,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL627309.1,ENSG00000238009,Gene Expression,GRCh38,False,False,False,70,0.014222756,0.014122562,98.59775641025641,71.0,4.276666
AL627309.3,ENSG00000239945,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL627309.2,ENSG00000239906,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL627309.5,ENSG00000241860,Gene Expression,GRCh38,False,False,False,2,0.00040064103,0.0004005608,99.9599358974359,2.0,1.0986123
AL627309.4,ENSG00000241599,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AP006222.2,ENSG00000286448,Gene Expression,GRCh38,False,False,False,8,0.0016025641,0.0016012813,99.83974358974359,8.0,2.1972246
AL732372.1,ENSG00000236601,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4F29,ENSG00000284733,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AC114498.1,ENSG00000235146,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
OR4F16,ENSG00000284662,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
AL669831.2,ENSG00000229905,Gene Expression,GRCh38,False,False,False,3,0.00060096156,0.00060078106,99.93990384615384,3.0,1.3862944
LINC01409,ENSG00000237491,Gene Expression,GRCh38,False,False,False,148,0.030048076,0.029605476,97.03525641025641,150.0,5.0172796
FAM87B,ENSG00000177757,Gene Expression,GRCh38,False,False,False,0,0.0,0.0,100.0,0.0,0.0
