"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070482","response to oxygen levels","48/613","387/21288",0.124031007751938,4.30729542091885,11.3060173525685,1.36634415916191e-17,4.73501883495163e-14,3.92772537686498e-14,"ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000090020/ENSG00000102144/ENSG00000104368/ENSG00000104419/ENSG00000104765/ENSG00000106688/ENSG00000107159/ENSG00000112033/ENSG00000113739/ENSG00000114023/ENSG00000115008/ENSG00000116016/ENSG00000117394/ENSG00000120868/ENSG00000121361/ENSG00000121966/ENSG00000123104/ENSG00000123154/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000140465/ENSG00000141279/ENSG00000142156/ENSG00000148926/ENSG00000150995/ENSG00000151651/ENSG00000152256/ENSG00000152952/ENSG00000159167/ENSG00000159399/ENSG00000162433/ENSG00000164116/ENSG00000164171/ENSG00000164442/ENSG00000167772/ENSG00000168209/ENSG00000173376/ENSG00000175344/ENSG00000176171/ENSG00000181449/ENSG00000185624/ENSG00000197930/ENSG00000198763/ENSG00000198899",48
"GO:0036293","response to decreased oxygen levels","46/613","360/21288",0.127777777777778,4.43741163675911,11.3261846638454,2.06094399780267e-17,4.73501883495163e-14,3.92772537686498e-14,"ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000090020/ENSG00000102144/ENSG00000104368/ENSG00000104419/ENSG00000104765/ENSG00000106688/ENSG00000107159/ENSG00000112033/ENSG00000113739/ENSG00000114023/ENSG00000115008/ENSG00000116016/ENSG00000117394/ENSG00000120868/ENSG00000121361/ENSG00000121966/ENSG00000123104/ENSG00000123154/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000140465/ENSG00000141279/ENSG00000142156/ENSG00000148926/ENSG00000150995/ENSG00000151651/ENSG00000152256/ENSG00000152952/ENSG00000159167/ENSG00000159399/ENSG00000162433/ENSG00000164171/ENSG00000164442/ENSG00000167772/ENSG00000168209/ENSG00000173376/ENSG00000175344/ENSG00000176171/ENSG00000181449/ENSG00000185624/ENSG00000197930/ENSG00000198763",46
"GO:0001666","response to hypoxia","43/613","344/21288",0.125,4.34094616639478,10.7568123540941,5.31943443865376e-16,8.14760041520468e-13,6.75848143942641e-13,"ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000090020/ENSG00000102144/ENSG00000104368/ENSG00000104419/ENSG00000104765/ENSG00000107159/ENSG00000112033/ENSG00000113739/ENSG00000114023/ENSG00000115008/ENSG00000116016/ENSG00000117394/ENSG00000120868/ENSG00000121361/ENSG00000121966/ENSG00000123104/ENSG00000123154/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000140465/ENSG00000141279/ENSG00000148926/ENSG00000150995/ENSG00000151651/ENSG00000152256/ENSG00000152952/ENSG00000159167/ENSG00000159399/ENSG00000162433/ENSG00000164171/ENSG00000164442/ENSG00000167772/ENSG00000168209/ENSG00000173376/ENSG00000175344/ENSG00000176171/ENSG00000185624/ENSG00000197930/ENSG00000198763",43
"GO:0071456","cellular response to hypoxia","24/613","160/21288",0.15,5.20913539967374,9.20213079483079,3.60772204115032e-11,4.14437069477143e-08,3.4377793450014e-08,"ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000090020/ENSG00000102144/ENSG00000104419/ENSG00000104765/ENSG00000112033/ENSG00000113739/ENSG00000114023/ENSG00000116016/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000141279/ENSG00000151651/ENSG00000152256/ENSG00000159167/ENSG00000162433/ENSG00000164442/ENSG00000173376/ENSG00000176171/ENSG00000185624/ENSG00000197930",24
"GO:0036294","cellular response to decreased oxygen levels","24/613","168/21288",0.142857142857143,4.9610813330226,8.87536356032268,1.02734257730102e-10,9.4412782853964e-08,7.83159467875159e-08,"ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000090020/ENSG00000102144/ENSG00000104419/ENSG00000104765/ENSG00000112033/ENSG00000113739/ENSG00000114023/ENSG00000116016/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000141279/ENSG00000151651/ENSG00000152256/ENSG00000159167/ENSG00000162433/ENSG00000164442/ENSG00000173376/ENSG00000176171/ENSG00000185624/ENSG00000197930",24
"GO:0071453","cellular response to oxygen levels","24/613","184/21288",0.130434782608696,4.52968295623803,8.27993501990859,6.93482230988177e-10,5.31091808565112e-07,4.40543712001436e-07,"ENSG00000067992/ENSG00000069667/ENSG00000074800/ENSG00000090020/ENSG00000102144/ENSG00000104419/ENSG00000104765/ENSG00000112033/ENSG00000113739/ENSG00000114023/ENSG00000116016/ENSG00000129521/ENSG00000135245/ENSG00000135766/ENSG00000141279/ENSG00000151651/ENSG00000152256/ENSG00000159167/ENSG00000162433/ENSG00000164442/ENSG00000173376/ENSG00000176171/ENSG00000185624/ENSG00000197930",24
"GO:0019677","NAD catabolic process","9/613","21/21288",0.428571428571429,14.8832439990678,10.9600414480786,2.77069900807076e-09,1.81876599172645e-06,1.50867685837958e-06,"ENSG00000004139/ENSG00000067057/ENSG00000074800/ENSG00000102144/ENSG00000111669/ENSG00000111674/ENSG00000141959/ENSG00000156515/ENSG00000159399",9
"GO:0061448","connective tissue development","30/613","303/21288",0.099009900990099,3.43837320110478,7.36091346659475,4.52751856979593e-09,2.32231938398132e-06,1.92637729554925e-06,"ENSG00000043039/ENSG00000069011/ENSG00000077092/ENSG00000100311/ENSG00000104331/ENSG00000112033/ENSG00000113083/ENSG00000113369/ENSG00000116285/ENSG00000118263/ENSG00000124216/ENSG00000125378/ENSG00000137745/ENSG00000138685/ENSG00000138696/ENSG00000142156/ENSG00000142871/ENSG00000143869/ENSG00000144320/ENSG00000156466/ENSG00000159167/ENSG00000159216/ENSG00000162878/ENSG00000164040/ENSG00000178573/ENSG00000183691/ENSG00000184371/ENSG00000196843/ENSG00000251493/ENSG00000259207",30
"GO:0001890","placenta development","21/613","156/21288",0.134615384615385,4.6748651022713,7.93228131606334,4.54861250398953e-09,2.32231938398132e-06,1.92637729554925e-06,"ENSG00000057657/ENSG00000086696/ENSG00000100311/ENSG00000112033/ENSG00000113739/ENSG00000116016/ENSG00000124216/ENSG00000135766/ENSG00000142871/ENSG00000143494/ENSG00000146648/ENSG00000148926/ENSG00000159167/ENSG00000164442/ENSG00000166145/ENSG00000168214/ENSG00000169032/ENSG00000175592/ENSG00000185551/ENSG00000188910/ENSG00000245848",21
"GO:0006735","NADH regeneration","8/613","18/21288",0.444444444444444,15.4344752582925,10.5491681835542,1.53213256480093e-08,5.86679094605024e-06,4.86653685714402e-06,"ENSG00000067057/ENSG00000074800/ENSG00000102144/ENSG00000111669/ENSG00000111674/ENSG00000141959/ENSG00000156515/ENSG00000159399",8
